Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AFL,A,APD,AKAM,ALK,ALB,ARE,ALGN,ALLE,LNT,ALL,GOOGL,GOOG,MO,AMZN,AMCR,AEE,AAL,AEP,AXP
2000-01-03,27.179519653320312,9.45456886291504,,18.25,,1.2216395139694214,16.274673461914062,15.5,,27.634904861450195,7.352350234985352,44.40432357788086,18.426225662231445,321.25,7.868538856506348,6.308417797088623,14.708205223083496,,,5.252227783203125,13.983213424682615,,,1.672609806060791,89.375,,11.551963806152344,,11.956177711486816,34.07167434692383
2000-01-04,26.09954071044922,9.184442520141602,,17.8125,,1.1844794750213623,14.909400939941406,14.625,,26.539043426513672,7.157247066497803,41.012325286865234,17.864660263061523,300.0,7.770181179046631,6.308417797088623,14.384628295898438,,,5.252227783203125,13.536940574645996,,,1.6859915256500244,81.9375,,11.551963806152344,,12.098796844482422,32.78519058227539
2000-01-05,26.855525970458984,9.167555809020996,,18.0,,1.1891238689422607,15.20417308807373,15.0,,26.824932098388672,7.116171360015869,38.46833038330078,17.96995735168457,283.5,7.812334060668945,6.417939186096191,14.119868278503418,,,5.509331226348877,14.13197135925293,,,1.6770707368850708,69.75,,11.998849868774414,,12.550420761108398,31.95246124267578
2000-01-06,29.015491485595703,9.488338470458984,,18.03125,,1.165899395942688,15.328289985656738,16.0,,27.039321899414062,7.259926319122314,37.00359344482422,19.16326713562012,236.125,7.819360256195068,6.636981010437012,13.85512351989746,,,5.509331226348877,14.057599067687988,,,1.6458481550216677,65.5625,,11.95416259765625,,12.62173080444336,32.60344314575195
2000-01-07,29.591476440429688,9.589635848999023,,17.9375,,1.198414325714111,16.072982788085938,16.25,,27.563432693481445,7.40369176864624,40.08723449707031,20.49698638916016,248.375,8.107401847839355,6.527455806732178,14.119868278503418,,,5.582785129547119,14.578240394592283,,,1.6904515027999878,69.5625,,12.13291072845459,,12.78811740875244,33.07811737060547
2000-01-10,29.44748878479004,9.522104263305664,,20.5,,1.2587993144989014,16.693561553955078,17.5,,28.8022518157959,6.962141036987305,42.515602111816406,19.23346900939941,285.5,7.966893672943115,6.505555629730225,14.296372413635254,,,5.595029830932617,14.243538856506348,,,1.7127528190612793,69.1875,,12.043535232543944,,12.740575790405272,33.53924560546875
2000-01-11,28.943498611450195,9.387041091918944,,19.8125,,1.3145395517349243,15.545493125915527,17.25,,28.945186614990234,6.818379878997803,41.93741607666016,18.356035232543945,278.4375,7.966893672943115,6.483652114868164,14.325790405273438,,,5.582785129547119,14.206344604492188,,,1.721673846244812,66.75,,12.02118682861328,,12.78811740875244,33.851165771484375
2000-01-12,29.015491485595703,9.24655818939209,,19.59375,,1.2587993144989014,15.467921257019045,18.125,,29.5407657623291,6.705423355102539,41.08941650390625,18.67190170288086,254.0,7.742076873779297,6.527455806732178,14.119868278503418,,,5.644001007080078,14.280729293823242,,,1.7305939197540283,63.5625,,12.08821964263916,,12.883198738098145,33.67485809326172
2000-01-13,29.015491485595703,9.161728858947754,,21.0,,1.27273428440094,16.290189743041992,18.875,,30.04105567932129,6.85945463180542,41.70615005493164,18.531518936157227,232.8125,7.728027820587158,6.615076065063477,14.178705215454102,,,5.692972183227539,14.76419734954834,,,1.748435378074646,65.9375,,12.13291072845459,,12.859427452087402,33.851165771484375
2000-01-14,28.601491928100582,9.365321159362791,,21.375,,1.2587993144989014,16.460847854614258,20.1875,,31.732494354248047,7.054557800292969,42.16869354248047,18.180540084838867,230.0,7.685873031616211,6.483652114868164,14.26695728302002,,,5.619516372680664,14.392300605773926,,,1.7305939197540283,64.25,,11.95416259765625,,12.859427452087402,34.61064147949219
2000-01-18,27.971511840820312,9.161728858947754,,26.0,,1.263444900512695,15.88680934906006,19.5,,29.707523345947266,6.57192850112915,44.095970153808594,17.303098678588867,211.5,7.6718244552612305,6.352225303649902,14.296372413635254,,,5.582785129547119,14.317919731140137,,,1.6413888931274414,64.125,,11.551963806152344,,12.550420761108398,32.88824844360352
2000-01-19,28.457502365112305,8.97510051727295,,24.375,,1.2448643445968628,15.669607162475586,19.59375,,29.87429618835449,6.181725025177002,43.17087936401367,17.33820152282715,224.75,7.489161014556885,6.374130725860596,14.237540245056152,,,5.6317572593688965,14.020402908325195,,,1.6681506633758545,66.8125,,11.84243392944336,,12.716809272766112,32.318634033203125
2000-01-20,27.39552116394043,8.703640937805176,,23.5,,1.1751888990402222,15.840267181396484,19.5,,29.61223602294922,6.684886932373047,42.014530181884766,16.776639938354492,234.0,7.306499004364014,6.286513328552246,14.237540245056152,,,5.852132797241211,14.13197135925293,,,1.6112805604934692,64.75,,11.797748565673828,,12.574189186096191,32.85433578491211
2000-01-21,27.34150505065918,8.466118812561035,,29.4375,,1.1240943670272827,15.607548713684082,18.9375,,30.49370002746582,6.366557598114014,42.39997482299805,16.25017547607422,269.0,7.151938438415527,6.374130725860596,14.178705215454102,,,6.549978256225586,13.983213424682615,,,1.5700234174728394,62.0625,,11.887126922607422,,12.93073558807373,32.915374755859375
2000-01-24,26.711536407470703,8.143758773803711,,31.375,,1.1148040294647217,15.033514022827148,17.25,,30.49370002746582,6.294677734375,42.24578857421875,16.952119827270508,262.0625,6.772562503814697,6.2646074295043945,14.119868278503418,,,6.782596111297607,13.574131965637209,,,1.5700234174728394,70.125,,11.95416259765625,,12.883198738098145,32.983177185058594
